occupation_code	occupation_text	display_level	selectable	sort_sequence
45301X	Fishers and related fishing workers	3	T	887	
453021	Hunters and trappers	4	T	890	
45302X	Hunters and trappers	3	T	889	
453XXX	Fishing and hunting workers	2	T	886	
454011	Forest and conservation workers	4	T	893	
45401X	Forest and conservation workers	3	T	892	
454021	Fallers	4	T	895	
454022	Logging equipment operators	4	T	896	
45402X	Logging workers	3	T	894	
454XXX	Forest, conservation, and logging workers	2	T	891	
45XXXX	Farming, fishing, and forestry occupations	1	T	871	
471011	First-line supervisors of construction trades and extraction workers	4	T	901	
47101X	First-line supervisors of construction trades and extraction workers	3	T	900	
471XXX	Supervisors of construction and extraction workers	2	T	899	
472011	Boilermakers	4	T	904	
47201X	Boilermakers	3	T	903	
472021	Brickmasons and blockmasons	4	T	906	
472022	Stonemasons	4	T	907	
47202X	Brickmasons, blockmasons, and stonemasons	3	T	905	
472031	Carpenters	4	T	909	
47203X	Carpenters	3	T	908	
472041	Carpet installers	4	T	911	
472042	Floor layers, except carpet, wood, and hard tiles	4	T	912	
472044	Tile and marble setters	4	T	914	
47204X	Carpet, floor, and tile installers and finishers	3	T	910	
472051	Cement masons and concrete finishers	4	T	916	
47205X	Cement masons, concrete finishers, and terrazzo workers	3	T	915	
472061	Construction laborers	4	T	919	
47206X	Construction laborers	3	T	918	
472071	Paving, surfacing, and tamping equipment operators	4	T	921	
472073	Operating engineers and other construction equipment operators	4	T	923	
47207X	Construction equipment operators	3	T	920	
472081	Drywall and ceiling tile installers	4	T	925	
47208X	Drywall installers, ceiling tile installers, and tapers	3	T	924	
472111	Electricians	4	T	928	
47211X	Electricians	3	T	927	
472121	Glaziers	4	T	930	
47212X	Glaziers	3	T	929	
472131	Insulation workers, floor, ceiling, and wall	4	T	932	
472132	Insulation workers, mechanical	4	T	933	
47213X	Insulation workers	3	T	931	
472141	Painters, construction and maintenance	4	T	935	
