occupation_code	occupation_text	display_level	selectable	sort_sequence
473015	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	4	T	983	
473016	Helpers--Roofers	4	T	984	
473019	Helpers, Construction Trades, All Other	4	T	985	
47301X	Helpers, Construction Trades	3	T	978	
473XXX	Helpers, Construction Trades	2	T	977	
474011	Construction and Building Inspectors	4	T	988	
47401X	Construction and Building Inspectors	3	T	987	
474021	Elevator Installers and Repairers	4	T	990	
47402X	Elevator Installers and Repairers	3	T	989	
474031	Fence Erectors	4	T	992	
47403X	Fence Erectors	3	T	991	
474041	Hazardous Materials Removal Workers	4	T	994	
47404X	Hazardous Materials Removal Workers	3	T	993	
474051	Highway Maintenance Workers	4	T	996	
47405X	Highway Maintenance Workers	3	T	995	
474061	Rail-Track Laying and Maintenance Equipment Operators	4	T	998	
47406X	Rail-Track Laying and Maintenance Equipment Operators	3	T	997	
474071	Septic Tank Servicers and Sewer Pipe Cleaners	4	T	1000	
47407X	Septic Tank Servicers and Sewer Pipe Cleaners	3	T	999	
474099	Construction and Related Workers, All Other	4	T	1003	
47409X	Miscellaneous Construction and Related Workers	3	T	1001	
474XXX	Other Construction and Related Workers	2	T	986	
475011	Derrick Operators, Oil and Gas	4	T	1006	
475012	Rotary Drill Operators, Oil and Gas	4	T	1007	
475013	Service Unit Operators, Oil, Gas, and Mining	4	T	1008	
47501X	Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining	3	T	1005	
475021	Earth Drillers, Except Oil and Gas	4	T	1010	
47502X	Earth Drillers, Except Oil and Gas	3	T	1009	
475041	Continuous Mining Machine Operators	4	T	1014	
475049	Mining Machine Operators, All Other	4	T	1016	
47504X	Mining Machine Operators	3	T	1013	
475061	Roof Bolters, Mining	4	T	1020	
47506X	Roof Bolters, Mining	3	T	1019	
475071	Roustabouts, Oil and Gas	4	T	1022	
47507X	Roustabouts, Oil and Gas	3	T	1021	
475081	Helpers--Extraction Workers	4	T	1024	
47508X	Helpers--Extraction Workers	3	T	1023	
475099	Extraction Workers, All Other	4	T	1026	
47509X	Miscellaneous Extraction Workers	3	T	1025	
475XXX	Extraction Workers	2	T	1004	
47XXXX	Construction and Extraction Occupations	1	T	925	
491011	First-Line Supervisors/Managers of Mechanics, Installers, and Repairers	4	T	1030	
49101X	First-Line Supervisors/Managers of Mechanics, Installers, and Repairers	3	T	1029	
491XXX	Supervisors of Installation, Maintenance, and Repair Workers	2	T	1028	
492011	Computer, Automated Teller, and Office Machine Repairers	4	T	1033	
49201X	Computer, Automated Teller, and Office Machine Repairers	3	T	1032	
492022	Telecommunications Equipment Installers and Repairers, Except Line Installers	4	T	1036	
49202X	Radio and Telecommunications Equipment Installers and Repairers	3	T	1034	
492092	Electric Motor, Power Tool, and Related Repairers	4	T	1039	
492094	Electrical and Electronics Repairers, Commercial and Industrial Equipment	4	T	1041	
492097	Electronic Home Entertainment Equipment Installers and Repairers	4	T	1044	
